Unnamed: 0_level_0,[112],[21110],[2218],[2316],[2414],[2512],[26],[3119],[312117],[312215],[312313],[312411],[3216],[322114],[322212],[3223],[3313],[332111],[34],[4118],[412116],[412214],[412312],[4124],[413115],[41312113],[41312211],[413212],[413221],[4214],[422112],[4222],[423111],[43],[5117],[512115],[512213],[512311],[513114],[51312112],[513122],[513211],[514113],[51412111],[514131],[5212],[5221],[6116],[612114],[612212],[6123],[613113],[61312111],[6132],[614112],[614121],[615111],[62],[7115],[712113],[712211],[713112],[713121],[714111],[7151],[8114],[812112],[8122],[813111],[8141],[9113],[912111],[9131],[10112],[10121],[11111],[121]
s[5212],1485,225,29,-15,-3,-15,45,-27,15,-7,3,-3,18,-6,2,-6,0,0,0,-55,5,1,-3,9,5,-1,1,2,2,1,-3,1,1,-3,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[514131],2112,288,64,16,0,0,0,-120,-6,4,-2,0,6,6,-2,-2,6,0,-12,-64,-16,0,0,0,-4,2,0,2,2,0,0,0,0,0,7,-7,-1,1,-5,-1,-1,1,1,-1,1,2,-2,16,0,0,0,-2,0,-2,0,0,1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[51412111],5775,525,35,-15,7,5,-5,-210,0,-10,0,-2,15,-3,-1,-3,-3,3,6,-105,5,3,1,-1,0,2,0,-3,-1,-5,1,-1,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,-1,1,3,1,0,1,-1,0,-2,0,0,0,0,0,0,0,-3,-1,1,0,1,0,0,0,0,0,0,0
s[514113],3520,160,-64,-48,0,0,0,-8,34,-4,6,0,10,-2,2,6,10,-2,-8,-64,16,0,0,0,-4,-2,0,2,-2,0,0,0,0,0,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,0,0,0,0
s[513211],4158,252,14,12,-18,-20,30,-189,-21,11,3,3,-9,3,-1,3,0,0,0,-28,-10,-4,-2,4,-1,-1,-1,-1,-1,2,0,2,-1,0,28,2,4,2,1,-1,1,1,2,0,-1,-2,2,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[513122],4455,135,-21,27,15,15,-45,-162,-36,-6,0,6,0,0,0,0,0,0,0,21,9,-7,-3,-3,6,0,2,0,0,-1,-1,3,2,-3,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,0,-1,-1,0,1,-3,1,1,0,-1,0,0,0,0,0,0,0
s[51312112],7700,0,-140,0,-12,0,20,-70,0,10,0,-6,-10,0,-2,0,-4,0,2,0,20,0,4,0,0,2,0,0,2,-4,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,2,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0
s[513114],3564,-216,-132,0,12,24,-36,162,36,6,0,-6,0,0,0,0,0,0,0,-48,0,-8,0,0,-6,0,-2,0,0,4,0,4,-2,0,-6,4,-2,0,-3,1,1,0,2,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0
s[512311],3520,-160,-64,48,0,0,0,-8,-34,-4,-6,0,10,2,2,-6,10,2,-8,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,-1,0,0,0,0,0,1,-1,1,0,0,0,0
s[512213],3696,-336,-112,48,-16,-16,16,168,0,8,0,8,6,-6,2,6,-3,-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-6,-2,-2,-2,0,-2,1,0,0,0,1,-1,6,2,2,-2,3,-1,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
s[512115],1728,-288,-64,48,0,0,0,216,6,-4,-6,0,18,-6,2,-6,0,0,0,-64,-16,0,0,0,-4,2,0,2,2,0,0,0,0,0,13,7,1,3,1,1,1,-2,1,-1,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0
s[5117],330,-90,-6,22,-6,-10,10,78,-6,-6,-2,6,15,-3,3,1,6,0,-3,-34,-6,6,2,-2,-4,0,0,-1,-3,-2,2,-2,-2,2,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,-5,-3,-1,1,-2,0,1,-1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
s[43],462,42,14,2,-2,10,30,-42,0,2,-4,-2,3,3,-1,-1,3,-3,12,-14,-6,2,2,2,-2,0,2,1,-3,2,-2,2,2,6,7,-3,-1,-3,-2,0,2,-2,1,-1,-2,2,2,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[423111],2970,90,34,-6,-6,10,-30,-216,6,4,-6,0,9,3,1,3,0,0,0,-34,-14,6,2,-2,-4,-2,0,-1,1,6,-2,-2,0,-6,35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,9,3,1,3,0,0,0,-1,1,-1,0,-5,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[4222],2640,0,16,0,16,0,80,-168,0,-8,0,-8,12,0,4,0,-6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,4,0,-4,0,-2,0,0,0,0,2,-6,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[422112],4455,-135,-21,-27,15,-15,-45,-162,36,-6,0,6,0,0,0,0,0,0,0,-21,9,7,-3,3,-6,0,-2,0,0,-1,1,3,2,3,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,0,-1,1,0,1,3,1,-1,0,-1,0,0,0,0,0,0,0
s[4214],1925,-175,-35,-15,21,-15,45,35,35,-5,3,3,-10,2,-2,-6,8,-4,8,-35,5,-3,-3,-3,-5,-1,3,-2,2,5,1,-3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0
