Unnamed: 0_level_0,[110],[2118],[2216],[2314],[2412],[25],[3117],[312115],[312213],[312311],[3214],[322112],[3222],[3311],[4116],[412114],[412212],[4123],[413113],[41312111],[4132],[4212],[4221],[5115],[512113],[512211],[513112],[513121],[514111],[52],[6114],[612112],[6122],[613111],[6141],[7113],[712111],[7131],[8112],[8121],[9111],[101]
s[6114],126,14,-14,-6,6,6,21,-1,1,3,6,2,-2,0,4,-4,0,0,1,-1,-2,-2,-2,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
s[52],42,14,6,2,2,-10,0,2,0,2,3,-1,3,-3,-4,0,0,-4,2,0,-1,2,-2,-3,-1,1,0,2,1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[514111],288,64,16,0,0,0,-6,4,-2,0,6,-2,-2,0,-16,0,0,0,2,0,2,0,0,-7,-1,1,-1,-1,-1,-2,0,0,0,0,0,1,1,1,0,0,0,0
s[513121],450,70,10,6,2,-10,-15,-5,1,3,-3,1,1,0,-10,-2,-2,-2,-1,1,-1,-2,2,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
s[513112],567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,-3,3,1,0,0,1,2,0,0,0,0,0,0,0,0,-1,-1,0,0
s[512211],525,35,-15,7,5,-5,0,-10,0,-2,-3,-1,-3,3,5,3,1,-1,2,0,-1,1,-1,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
s[512113],448,0,-32,0,0,0,28,0,4,0,4,0,4,-2,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0
s[5115],126,-14,-14,6,6,-6,21,1,1,-3,6,-2,-2,0,-4,-4,0,0,-1,-1,2,-2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
s[4221],252,28,8,0,4,20,-21,1,-1,-3,3,1,-1,0,-10,-2,2,2,-1,1,-1,0,0,2,-2,-2,-1,1,0,2,3,1,-1,0,-1,0,0,0,0,0,0,0
s[4212],300,20,0,-8,4,-20,-15,5,-3,1,3,-1,3,3,-10,2,2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0
s[4132],210,14,6,2,-6,-10,-21,-1,3,-1,0,2,0,3,-4,-4,0,0,-1,-1,2,2,-2,5,-1,1,-1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[41312111],768,0,0,0,0,0,-48,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,-2,0,0,0,0,0,-2,0,1,0,0,0,0
s[413113],525,-35,-15,-7,5,5,0,10,0,2,-3,1,-3,3,-5,3,-1,-1,-2,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,1,0,0
s[4123],300,-20,0,8,4,20,-15,-5,-3,-1,3,1,3,3,10,2,-2,-2,1,-1,1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
s[412212],567,-63,-9,9,-9,-15,0,0,0,0,0,0,0,0,9,3,1,3,0,0,0,-1,1,-3,-3,1,0,0,-1,2,0,0,0,0,0,0,0,0,1,-1,0,0
s[412114],350,-70,-10,10,-2,10,35,5,-1,1,-1,-1,-1,-1,-10,-2,-2,-2,-1,1,-1,2,-2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,0
s[4116],84,-28,0,8,-4,-4,21,-1,-3,-1,3,-1,3,3,-10,-2,2,2,-1,1,-1,0,0,4,2,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1
s[3311],210,-14,6,-2,-6,10,-21,1,3,1,0,-2,0,3,4,-4,0,0,1,-1,-2,2,2,5,1,1,-1,1,-1,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[3222],252,-28,8,0,4,-20,-21,-1,-1,3,3,-1,-1,0,10,-2,-2,2,1,1,1,0,0,2,2,-2,-1,-1,0,2,-3,1,1,0,-1,0,0,0,0,0,0,0
s[322112],450,-70,10,-6,2,10,-15,5,1,-3,-3,-1,1,0,10,-2,2,-2,1,1,1,-2,-2,0,0,0,0,0,0,0,-3,-1,1,0,1,2,0,-1,0,0,0,0
s[3214],225,-55,5,-3,9,-15,15,5,-1,-3,-6,2,2,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0
s[312311],288,-64,16,0,0,0,-6,-4,-2,0,6,2,-2,0,16,0,0,0,-2,0,-2,0,0,-7,1,1,-1,1,1,-2,0,0,0,0,0,1,-1,1,0,0,0,0
s[312213],315,-91,19,-3,-5,5,21,-1,1,3,-3,-1,1,0,1,-1,1,-1,1,-1,1,-1,1,-5,-1,-1,1,-1,1,0,3,1,-1,0,-1,0,0,0,-1,1,0,0
s[312115],160,-64,16,0,0,0,34,-4,-2,0,-2,2,-2,-2,-16,0,0,0,2,0,2,0,0,5,1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0
s[3117],36,-20,8,0,-4,4,15,-5,-1,3,3,1,-1,0,-10,2,2,-2,-1,-1,-1,0,0,6,0,-2,0,0,0,1,-3,-1,1,0,1,1,1,1,0,0,0,-1
s[25],42,-14,6,-2,2,10,0,-2,0,-2,3,1,3,-3,4,0,0,-4,-2,0,1,2,2,-3,1,1,0,-2,-1,2,1,-1,1,1,-1,0,0,0,0,0,0,0
s[2412],90,-34,14,-6,2,-10,6,-4,2,0,3,-1,-1,0,4,0,0,4,-2,0,1,2,-2,-5,1,-1,1,1,-1,0,3,-1,-1,0,1,-1,1,-1,0,0,0,0
s[2314],75,-35,15,-7,3,5,15,-5,3,-1,0,-2,0,3,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,2,0,2,-1,0,-2,0,1,1,-1,0,0
s[2216],35,-21,11,-5,3,-5,14,-6,2,-2,2,0,2,-1,-9,3,-1,3,0,0,0,-1,-1,5,-1,1,-1,-1,1,0,-2,0,-2,1,0,0,0,0,1,1,-1,0
s[2118],9,-7,5,-3,1,1,6,-4,2,0,3,-1,-1,0,-5,3,-1,-1,-2,0,1,1,1,4,-2,0,1,1,0,-1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1
s[110],1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1
