Unnamed: 0_level_0,[113],[21111],[2219],[2317],[2415],[2513],[2611],[31110],[312118],[312216],[312314],[312412],[3125],[3217],[322115],[322213],[322311],[3314],[332112],[3322],[3411],[4119],[412117],[412215],[412313],[412411],[413116],[41312114],[41312212],[413123],[413213],[41322111],[4133],[4215],[422113],[422211],[423112],[423121],[4311],[5118],[512116],[512214],[512312],[5124],[513115],[51312113],[51312211],[513212],[513221],[514114],[51412112],[514122],[51413111],[5142],[5213],[522111],[5231],[6117],[612115],[612213],[612311],[613114],[61312112],[613122],[613211],[614113],[61412111],[614131],[615112],[615121],[6211],[7116],[712114],[712212],[7123],[713113],[71312111],[7132],[714112],[714121],[715111],[7161],[8115],[812113],[812211],[813112],[813121],[814111],[8151],[9114],[912112],[9122],[913111],[9141],[10113],[1012111],[10131],[11112],[11121],[12111],[131]
s[613114],9360,120,-384,-48,16,40,0,540,36,24,0,4,-20,36,6,0,-6,-9,3,3,0,-48,-20,-8,-4,0,-6,-2,-2,2,0,-2,-3,0,0,0,0,0,0,-20,10,-4,2,-4,-5,1,-1,1,1,2,0,2,-1,0,0,0,0,-6,4,-2,0,-3,1,1,0,2,0,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
s[612311],9009,231,-231,63,33,-9,9,189,-105,-3,-9,-3,-9,0,0,0,0,18,6,-6,0,147,21,11,-3,3,15,-3,-1,-3,0,0,-6,9,-1,1,-3,-1,3,-21,-9,-1,3,3,-6,0,2,0,0,-3,1,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,-1,0,0,0,0,0,1,-1,1,0,0,0,0
s[612213],9360,-120,-384,48,16,-40,0,540,-36,24,0,4,20,36,-6,0,6,-9,-3,3,0,48,-20,8,-4,0,6,-2,2,2,0,-2,3,0,0,0,0,0,0,-20,-10,-4,-2,-4,-5,-1,-1,1,-1,-2,0,-2,1,0,0,0,0,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
s[612115],4290,-330,-246,62,34,-10,10,510,6,6,-10,-2,-10,69,-9,-3,-1,-3,3,-3,-3,-78,-50,2,-2,2,-6,-2,2,-2,3,1,3,-10,2,-2,2,2,-2,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
s[6117],792,-132,-48,36,8,-20,0,162,-6,-6,-6,2,10,36,-6,0,6,9,3,-3,0,-48,-20,8,4,0,-6,-2,2,-2,0,-2,-3,-8,4,0,-2,-2,0,22,8,2,-4,-2,7,-1,-1,1,-1,2,0,-2,-1,2,2,-2,2,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
s[5231],3432,528,120,24,8,0,-40,-168,0,0,0,8,0,21,3,-3,3,3,-3,3,-6,-120,-20,0,-4,-8,0,4,0,-4,3,1,-3,0,0,0,0,0,0,-8,-12,0,4,8,-8,0,0,1,3,0,0,0,0,0,2,-2,2,21,-1,-3,-1,-3,-1,-3,0,-1,1,-1,1,-1,2,9,3,1,3,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[522111],8580,990,120,-22,12,-10,0,-285,21,-21,5,3,5,48,-12,0,-4,-6,0,-6,12,-216,6,4,-6,0,9,3,1,3,0,0,0,-4,-2,0,-1,1,0,-35,-5,5,3,-3,-5,1,-1,-2,-2,-1,1,-1,-1,1,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,5,3,1,-1,2,0,-1,1,-1,0,-1,-4,-2,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s[5213],5005,385,-35,-63,-3,-15,45,-35,49,-11,9,-3,-15,28,-8,4,0,10,-2,10,-8,-119,21,1,-3,9,1,-3,1,-3,4,0,-2,1,-3,1,1,-3,-3,-35,5,5,-3,-3,-5,-1,-1,-2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0
s[5142],2574,330,78,18,-2,10,30,-162,-6,6,-6,-2,10,9,9,-3,-3,9,-3,-3,0,-78,-22,2,2,2,-6,2,2,2,3,-1,3,2,-2,2,2,-2,6,14,-10,-2,-2,-2,-7,-1,1,-1,-1,2,-2,2,-1,2,4,0,-2,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[51413111],15015,1155,147,7,-17,-5,-5,-735,-21,9,-5,1,-5,21,9,-3,1,3,3,3,-6,-231,-35,5,1,1,-9,1,-1,1,-3,1,3,3,-1,-1,-3,-1,-3,70,-10,2,2,-2,-5,-1,-1,1,-1,4,0,0,1,-2,0,0,0,49,1,1,1,1,1,1,-2,1,1,1,-1,1,-2,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[514122],12870,660,30,12,38,20,30,-540,-36,-24,0,-4,20,27,-3,3,-3,-9,3,3,0,-84,14,-4,-2,-4,6,2,2,-2,-3,-1,-3,-6,0,2,0,0,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,-10,2,2,-2,-1,-1,-1,0,0,0,1,-6,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
